x,y,z,theta
1055.824028,1595.175972,0.0,0.04052
1056.823322,1595.176678,0.0,0.04052
1057.822615,1595.177385,0.0,0.04052
1058.821908,1595.178092,0.0,0.04052
1059.821201,1595.178799,0.0,0.04052
1060.820495,1595.179505,0.0,0.04052
1061.819788,1595.180212,0.0,0.04052
1062.819081,1595.180919,0.0,0.04052
1063.818375,1595.181625,0.0,0.04052
1064.817668,1595.182332,0.0,0.04052
1065.816961,1595.183039,0.0,0.04052
1066.816254,1595.183746,0.0,0.04052
1067.815548,1595.184452,0.0,0.04052
1068.814841,1595.185159,0.0,0.04052
1069.814134,1595.185866,0.0,0.04052
1070.813428,1595.186572,0.0,0.04052
1071.812721,1595.187279,0.0,0.04052
1072.812014,1595.187986,0.0,0.04052
1073.811307,1595.188693,0.0,0.04052
1074.810601,1595.189399,0.0,0.04052
1075.809894,1595.190106,0.0,0.04052
1076.809187,1595.190813,0.0,0.04052
1077.808481,1595.191519,0.0,0.04052
1078.807774,1595.192226,0.0,0.04052
1079.807067,1595.192933,0.0,0.04052
1080.80636,1595.19364,0.0,0.04052
1081.805654,1595.194346,0.0,0.04052
1082.804947,1595.195053,0.0,0.04052
1083.80424,1595.19576,0.0,0.04052
1084.803534,1595.196466,0.0,0.04052
1085.802827,1595.197173,0.0,0.04052
1086.80212,1595.19788,0.0,0.04052
1087.801413,1595.198587,0.0,0.04052
1088.800707,1595.199293,0.0,0.04052
1089.8,1595.2,0.0,0.04052
1090.799293,1595.200707,0.0,0.04052
1091.798587,1595.201413,0.0,0.04052
1092.79788,1595.20212,0.0,0.04052
1093.797173,1595.202827,0.0,0.04052
1094.796466,1595.203534,0.0,0.04052
1095.79576,1595.20424,0.0,0.04052
1096.795053,1595.204947,0.0,0.04052
1097.794346,1595.205654,0.0,0.04052
1098.79364,1595.20636,0.0,0.04052
1099.792933,1595.207067,0.0,0.04052
1100.792226,1595.207774,0.0,0.04052
1101.791519,1595.208481,0.0,0.04052
1102.790813,1595.209187,0.0,0.04052
1103.790106,1595.209894,0.0,0.04052
1104.789399,1595.210601,0.0,0.04052
1105.788693,1595.211307,0.0,0.04052
1106.787986,1595.212014,0.0,0.04052
1107.787279,1595.212721,0.0,0.04052
1108.786572,1595.213428,0.0,0.04052
1109.785866,1595.214134,0.0,0.04052
1110.785159,1595.214841,0.0,0.04052
1111.784452,1595.215548,0.0,0.04052
1112.783746,1595.216254,0.0,0.04052
1113.783039,1595.216961,0.0,0.04052
1114.782332,1595.217668,0.0,0.04052
1115.781625,1595.218375,0.0,0.04052
1116.780919,1595.219081,0.0,0.04052
1117.780212,1595.219788,0.0,0.04052
1118.779505,1595.220495,0.0,0.04052
1119.778799,1595.221201,0.0,0.04052
1120.778092,1595.221908,0.0,0.04052
1121.777385,1595.222615,0.0,0.04052
1122.776678,1595.223322,0.0,0.04052
1123.775972,1595.224028,0.0,0.04052
1124.775265,1595.224735,0.0,0.04052
1125.774558,1595.225442,0.0,0.04052
1126.773852,1595.226148,0.0,0.04052
1127.773145,1595.226855,0.0,0.04052
1128.772438,1595.227562,0.0,0.04052
1129.771731,1595.228269,0.0,0.04052
1130.771025,1595.228975,0.0,0.04052
1131.770318,1595.229682,0.0,0.04052
1132.769611,1595.230389,0.0,0.04052
1133.768905,1595.231095,0.0,0.04052
1134.768198,1595.231802,0.0,0.04052
1135.767491,1595.232509,0.0,0.04052
1136.766784,1595.233216,0.0,0.04052
1137.766078,1595.233922,0.0,0.04052
1138.765371,1595.234629,0.0,0.04052
1139.764664,1595.235336,0.0,0.04052
1140.763958,1595.236042,0.0,0.04052
1141.763251,1595.236749,0.0,0.04052
1142.762544,1595.237456,0.0,0.04052
1143.761837,1595.238163,0.0,0.04052
1144.761131,1595.238869,0.0,0.04052
1145.760424,1595.239576,0.0,0.04052
1146.759717,1595.240283,0.0,0.04052
1147.759011,1595.240989,0.0,0.04052
1148.758304,1595.241696,0.0,0.04052
1149.757597,1595.242403,0.0,0.04052
1150.75689,1595.24311,0.0,0.04052
1151.756184,1595.243816,0.0,0.04052
1152.755477,1595.244523,0.0,0.04052
1153.75477,1595.24523,0.0,0.04052
1154.754064,1595.245936,0.0,0.04052
1155.753357,1595.246643,0.0,0.04052
1156.75265,1595.24735,0.0,0.04052
1157.751943,1595.248057,0.0,0.04052
1158.751237,1595.248763,0.0,0.04052
1159.75053,1595.24947,0.0,0.04052
1160.749823,1595.250177,0.0,0.04052
1161.749117,1595.250883,0.0,0.04052
1162.74841,1595.25159,0.0,0.04052
1163.747703,1595.252297,0.0,0.04052
1164.746996,1595.253004,0.0,0.04052
1165.74629,1595.25371,0.0,0.04052
1166.745583,1595.254417,0.0,0.04052
1167.744876,1595.255124,0.0,0.04052
1168.74417,1595.25583,0.0,0.04052
1169.743463,1595.256537,0.0,0.04052
1170.742756,1595.257244,0.0,0.04052
1171.742049,1595.257951,0.0,0.04052
1172.741343,1595.258657,0.0,0.04052
1173.740636,1595.259364,0.0,0.04052
1174.739929,1595.260071,0.0,0.04052
1175.739223,1595.260777,0.0,0.04052
