id,x,y,z,theta
309,2061.0,594.0,0,179.1048
310,2050.8947,594.1579,0,179.1048
311,2040.7895,594.3158,0,179.1048
312,2030.6842,594.4737,0,179.1048
313,2020.5789,594.6316,0,179.1048
314,2010.4737,594.7895,0,179.1048
315,2000.3684,594.9474,0,179.1048
316,1990.2632,595.1053,0,179.1048
317,1980.1579,595.2632,0,179.1048
318,1970.0526,595.4211,0,179.1048
319,1959.9474,595.5789,0,179.1048
320,1949.8421,595.7368,0,179.1048
321,1939.7368,595.8947,0,179.1048
322,1929.6316,596.0526,0,179.1048
323,1919.5263,596.2105,0,179.1048
324,1909.4211,596.3684,0,179.1048
325,1899.3158,596.5263,0,179.1048
326,1889.2105,596.6842,0,179.1048
327,1879.1053,596.8421,0,179.1048
328,1869.0,597.0,0,179.1048
329,1858.8947,597.1579,0,179.1048
330,1848.7895,597.3158,0,179.1048
331,1838.6842,597.4737,0,179.1048
332,1828.5789,597.6316,0,179.1048
333,1818.4737,597.7895,0,179.1048
334,1808.3684,597.9474,0,179.1048
335,1798.2632,598.1053,0,179.1048
336,1788.1579,598.2632,0,179.1048
337,1778.0526,598.4211,0,179.1048
338,1767.9474,598.5789,0,179.1048
339,1757.8421,598.7368,0,179.1048
340,1747.7368,598.8947,0,179.1048
341,1737.6316,599.0526,0,179.1048
342,1727.5263,599.2105,0,179.1048
343,1717.4211,599.3684,0,179.1048
344,1707.3158,599.5263,0,179.1048
345,1697.2105,599.6842,0,179.1048
346,1687.1053,599.8421,0,179.1048
347,1677.0,600.0,0,179.1048
348,1666.8947,600.1579,0,179.1048
349,1656.7895,600.3158,0,179.1048
350,1646.6842,600.4737,0,179.1048
351,1636.5789,600.6316,0,179.1048
352,1626.4737,600.7895,0,179.1048
353,1616.3684,600.9474,0,179.1048
354,1606.2632,601.1053,0,179.1048
355,1596.1579,601.2632,0,179.1048
356,1586.0526,601.4211,0,179.1048
357,1575.9474,601.5789,0,179.1048
358,1565.8421,601.7368,0,179.1048
359,1555.7368,601.8947,0,179.1048
360,1545.6316,602.0526,0,179.1048
361,1535.5263,602.2105,0,179.1048
362,1525.4211,602.3684,0,179.1048
363,1515.3158,602.5263,0,179.1048
364,1505.2105,602.6842,0,179.1048
365,1495.1053,602.8421,0,179.1048
366,1485.0,603.0,0,-179.5398
367,1474.625,602.9167,0,-179.5398
368,1464.25,602.8333,0,-179.5398
369,1453.875,602.75,0,-179.5398
370,1443.5,602.6667,0,-179.5398
371,1433.125,602.5833,0,-179.5398
372,1422.75,602.5,0,-179.5398
373,1412.375,602.4167,0,-179.5398
374,1402.0,602.3333,0,-179.5398
375,1391.625,602.25,0,-179.5398
376,1381.25,602.1667,0,-179.5398
377,1370.875,602.0833,0,-179.5398
378,1360.5,602.0,0,-179.5398
379,1350.125,601.9167,0,-179.5398
380,1339.75,601.8333,0,-179.5398
381,1329.375,601.75,0,-179.5398
382,1319.0,601.6667,0,-179.5398
383,1308.625,601.5833,0,-179.5398
384,1298.25,601.5,0,-179.5398
385,1287.875,601.4167,0,-179.5398
386,1277.5,601.3333,0,-179.5398
387,1267.125,601.25,0,-179.5398
388,1256.75,601.1667,0,-179.5398
389,1246.375,601.0833,0,-179.5398
390,1236.0,601.0,0,-176.5107
391,1225.8932,600.3837,0,-173.7191
392,1215.8285,599.276,0,-170.9276
393,1205.8296,597.6794,0,-168.136
394,1195.9203,595.5977,0,-165.3444
395,1186.1242,593.0358,0,-162.5528
396,1176.4645,589.9999,0,-159.7612
397,1166.9642,586.4971,0,-156.9696
398,1157.6456,582.5358,0,-154.1781
399,1148.5311,578.1254,0,-151.3865
400,1139.6422,573.2763,0,-148.5949
401,1131.0,568.0,0,-150.0236
402,1121.9191,562.7621,0,-150.0236
403,1112.8383,557.5243,0,-150.0236
404,1103.7574,552.2864,0,-150.0236
405,1094.6766,547.0486,0,-150.0236
406,1085.5957,541.8107,0,-150.0236
407,1076.5149,536.5729,0,-150.0236
408,1067.434,531.335,0,-150.0236
409,1058.3532,526.0972,0,-150.0236
410,1049.2723,520.8593,0,-150.0236
411,1040.1915,515.6215,0,-150.0236
